micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
5100,637,1.0192,0.15919181127101184,1.028119375705719,0.364815688431263,2.52,1.48,4.0,0,0,0,{},0.05429080128669739,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
5150,643,1.0288,0.0763073626998812,0.8994705033302307,0.25620146602392196,2.42,1.58,4.0,0,0,0,{},0.03102031908929348,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
5200,649,1.0384,0.12277214840985834,0.968929340839386,0.3165580201148987,2.49,1.51,4.0,0,0,0,{},0.06235503405332565,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
5250,656,1.0496,0.0861389769334346,0.9229536068439483,0.2707297059893608,2.46,1.54,4.0,0,0,0,{},0.033428341150283813,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
5300,662,1.0592,0.13213194669689984,0.9147136986255646,0.31507469147443773,2.3,1.7,4.0,0,0,0,{},0.031715262681245804,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
5350,668,1.0688,0.09924810552038252,0.9656942117214203,0.29238695293664935,2.51,1.49,4.0,0,0,0,{},0.034336574375629425,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
5400,674,1.0784,0.11124856826383621,0.9546757733821869,0.3021837288141251,2.52,1.48,4.0,0,0,0,{},0.10949830710887909,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
5450,681,1.0896,0.15541297854855657,1.0031629800796509,0.35604557633399964,2.43,1.57,4.0,0,0,0,{},0.021456584334373474,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
5500,687,1.0992,0.18767118897289037,1.1064998936653136,0.4089711728692055,2.67,1.33,4.0,0,0,0,{},0.030589953064918518,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
5550,693,1.1088,0.07039971367456019,0.9204502010345459,0.25448975801467894,2.46,1.54,4.0,0,0,0,{},0.051716893911361694,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
